series_id,provider,identifier,field,vendor_description,history_start,confirmed_on,notes
CBI_DISTRIBUTIVE_TRADES_SELLING_PRICES_CURRENT,bloomberg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority A1. Discover with 'python -m scripts.discover_series --provider bloomberg --query ""CBI distributive trades selling prices""' on an entitled Terminal. Confirm the candidate belongs to the distributive_trades survey and to the 'current' horizon before recording the ticker: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
CBI_DISTRIBUTIVE_TRADES_SELLING_PRICES_CURRENT,lseg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority A1. Discover with 'python -m scripts.discover_series --provider lseg --query ""CBI distributive trades selling prices""' on an entitled Workspace. Confirm the candidate belongs to the distributive_trades survey and to the 'current' horizon before recording the RIC: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
CBI_DISTRIBUTIVE_TRADES_SELLING_PRICES_EXPECTED,bloomberg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority A1. Discover with 'python -m scripts.discover_series --provider bloomberg --query ""CBI distributive trades selling prices""' on an entitled Terminal. Confirm the candidate belongs to the distributive_trades survey and to the 'expected' horizon before recording the ticker: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
CBI_DISTRIBUTIVE_TRADES_SELLING_PRICES_EXPECTED,lseg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority A1. Discover with 'python -m scripts.discover_series --provider lseg --query ""CBI distributive trades selling prices""' on an entitled Workspace. Confirm the candidate belongs to the distributive_trades survey and to the 'expected' horizon before recording the RIC: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
CBI_DISTRIBUTIVE_TRADES_RETAIL_SALES_CURRENT,bloomberg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority A2. Discover with 'python -m scripts.discover_series --provider bloomberg --query ""CBI distributive trades retail sales""' on an entitled Terminal. Confirm the candidate belongs to the distributive_trades survey and to the 'current' horizon before recording the ticker: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
CBI_DISTRIBUTIVE_TRADES_RETAIL_SALES_CURRENT,lseg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority A2. Discover with 'python -m scripts.discover_series --provider lseg --query ""CBI distributive trades retail sales""' on an entitled Workspace. Confirm the candidate belongs to the distributive_trades survey and to the 'current' horizon before recording the RIC: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
CBI_DISTRIBUTIVE_TRADES_RETAIL_SALES_EXPECTED,bloomberg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority A2. Discover with 'python -m scripts.discover_series --provider bloomberg --query ""CBI distributive trades retail sales""' on an entitled Terminal. Confirm the candidate belongs to the distributive_trades survey and to the 'expected' horizon before recording the ticker: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
CBI_DISTRIBUTIVE_TRADES_RETAIL_SALES_EXPECTED,lseg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority A2. Discover with 'python -m scripts.discover_series --provider lseg --query ""CBI distributive trades retail sales""' on an entitled Workspace. Confirm the candidate belongs to the distributive_trades survey and to the 'expected' horizon before recording the RIC: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
CBI_DISTRIBUTIVE_TRADES_ORDERS_ON_SUPPLIERS_CURRENT,bloomberg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority A2. Discover with 'python -m scripts.discover_series --provider bloomberg --query ""CBI distributive trades orders on suppliers""' on an entitled Terminal. Confirm the candidate belongs to the distributive_trades survey and to the 'current' horizon before recording the ticker: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
CBI_DISTRIBUTIVE_TRADES_ORDERS_ON_SUPPLIERS_CURRENT,lseg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority A2. Discover with 'python -m scripts.discover_series --provider lseg --query ""CBI distributive trades orders on suppliers""' on an entitled Workspace. Confirm the candidate belongs to the distributive_trades survey and to the 'current' horizon before recording the RIC: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
CBI_DISTRIBUTIVE_TRADES_ORDERS_ON_SUPPLIERS_EXPECTED,bloomberg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority A2. Discover with 'python -m scripts.discover_series --provider bloomberg --query ""CBI distributive trades orders on suppliers""' on an entitled Terminal. Confirm the candidate belongs to the distributive_trades survey and to the 'expected' horizon before recording the ticker: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
CBI_DISTRIBUTIVE_TRADES_ORDERS_ON_SUPPLIERS_EXPECTED,lseg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority A2. Discover with 'python -m scripts.discover_series --provider lseg --query ""CBI distributive trades orders on suppliers""' on an entitled Workspace. Confirm the candidate belongs to the distributive_trades survey and to the 'expected' horizon before recording the RIC: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
CBI_DISTRIBUTIVE_TRADES_STOCK_ADEQUACY_CURRENT,bloomberg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority A3. Discover with 'python -m scripts.discover_series --provider bloomberg --query ""CBI distributive trades stock adequacy""' on an entitled Terminal. Confirm the candidate belongs to the distributive_trades survey and to the 'current' horizon before recording the ticker: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
CBI_DISTRIBUTIVE_TRADES_STOCK_ADEQUACY_CURRENT,lseg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority A3. Discover with 'python -m scripts.discover_series --provider lseg --query ""CBI distributive trades stock adequacy""' on an entitled Workspace. Confirm the candidate belongs to the distributive_trades survey and to the 'current' horizon before recording the RIC: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
CBI_INDUSTRIAL_TRENDS_SELLING_PRICES_CURRENT,bloomberg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority B1. Discover with 'python -m scripts.discover_series --provider bloomberg --query ""CBI industrial trends selling prices""' on an entitled Terminal. Confirm the candidate belongs to the industrial_trends survey and to the 'current' horizon before recording the ticker: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
CBI_INDUSTRIAL_TRENDS_SELLING_PRICES_CURRENT,lseg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority B1. Discover with 'python -m scripts.discover_series --provider lseg --query ""CBI industrial trends selling prices""' on an entitled Workspace. Confirm the candidate belongs to the industrial_trends survey and to the 'current' horizon before recording the RIC: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
CBI_INDUSTRIAL_TRENDS_SELLING_PRICES_EXPECTED,bloomberg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority B1. Discover with 'python -m scripts.discover_series --provider bloomberg --query ""CBI industrial trends selling prices""' on an entitled Terminal. Confirm the candidate belongs to the industrial_trends survey and to the 'expected' horizon before recording the ticker: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
CBI_INDUSTRIAL_TRENDS_SELLING_PRICES_EXPECTED,lseg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority B1. Discover with 'python -m scripts.discover_series --provider lseg --query ""CBI industrial trends selling prices""' on an entitled Workspace. Confirm the candidate belongs to the industrial_trends survey and to the 'expected' horizon before recording the RIC: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
CBI_INDUSTRIAL_TRENDS_AVERAGE_COSTS_CURRENT,bloomberg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority B2. Discover with 'python -m scripts.discover_series --provider bloomberg --query ""CBI industrial trends average costs""' on an entitled Terminal. Confirm the candidate belongs to the industrial_trends survey and to the 'current' horizon before recording the ticker: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
CBI_INDUSTRIAL_TRENDS_AVERAGE_COSTS_CURRENT,lseg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority B2. Discover with 'python -m scripts.discover_series --provider lseg --query ""CBI industrial trends average costs""' on an entitled Workspace. Confirm the candidate belongs to the industrial_trends survey and to the 'current' horizon before recording the RIC: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
CBI_INDUSTRIAL_TRENDS_AVERAGE_COSTS_EXPECTED,bloomberg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority B2. Discover with 'python -m scripts.discover_series --provider bloomberg --query ""CBI industrial trends average costs""' on an entitled Terminal. Confirm the candidate belongs to the industrial_trends survey and to the 'expected' horizon before recording the ticker: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
CBI_INDUSTRIAL_TRENDS_AVERAGE_COSTS_EXPECTED,lseg,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,PENDING_VENDOR_DISCOVERY,,"Priority B2. Discover with 'python -m scripts.discover_series --provider lseg --query ""CBI industrial trends average costs""' on an entitled Workspace. Confirm the candidate belongs to the industrial_trends survey and to the 'expected' horizon before recording the RIC: a selling-price balance from the wrong survey or the wrong horizon looks plausible and is wrong."
